name,url,year_founded,city,state,full_time_employees,type,company_category,revenue_source,business_model
"VisualDoD, LLC",www.visualdod.com,2012,Reston,VA,1-10,Private,Aerospace and Defense,"Software licensing, Subscriptions, Advisory services","Business to Business, Business to Government"
DemystData,http://demystdata.com,2011,New York,NY,11-50,Private,Finance & Investment,Not reported by company,Business to Business
Google Maps,https://www.google.com/maps/about/explore/,2005,Mountain View,CA,"5,001-10,000",Public,Geospatial/Mapping,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Geofeedia,http://geofeedia.com/,2011,Chicago,IL,11-50,Private,Geospatial/Mapping,Not reported by company,Business to Business
BlackRock,http://www.blackrock.com,1988,Atlanta,GA,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Zurich Insurance (Risk Room),http://www.zurichna.com/,1912,Schaumburg,IL,"10,001+",Public,Insurance,Not reported by company,NA
Business Monitor International,www.businessmonitor.com,1984,New York,NY,201-500,Private,Business & Legal Services,not reported by company,Business to Business
"HealthPocket, Inc.",http://www.healthpocket.com,2012,Sunnyvale,CA,1-10,Private,Healthcare,Advertising,Business to Consumer
SpeSo Health,http://www.spesohealth.com/,2013,Philadelphia,PA,1-10,Private,Healthcare,Not reported by company,Business to Consumer
Ceiba Solutions,http://www.ceibasolutions.com,2006,Boston,MA,51-200,Private,Scientific Research,Not reported by company,"Business to Business, Business to Consumer"
The Bridgespan Group,http://www.bridgespan.org/,1973,Boston,MA,51-200,Private,Research & Consulting,NA,"Business to Government, nonprofit"
Informatica,http://www.informatica.com,1993,Redwood City,CA,"1,001-5,000",Public,Data/Technology,Not provided by company,Business to Business
TrialX,http://trialx.com/,2007,New York,NY,1-10,Private,Healthcare,"Software licensing, Subscriptions","Business to Business, Business to Consumer, academia + nonprofit"
Standard and Poor's,http://www.standardandpoors.com/en_US/web/guest/home,1860,NA,NY,"10,001+",Public,Finance & Investment,Not reported by company,NA
TopCoder,http://www.topcoder.com/,2001,San Francisco,CA,51-200,NA,Data/Technology,Not reported by company,Business to Consumer
Poncho App,http://poncho.is/,2013,New York,NY,NA,Private,Environment & Weather,Not reported by company,Business to Consumer
Equal Pay for Women,http://resources.alljobopenings.com/equality,2012,Midlothian,VA,NA,NA,Business & Legal Services,Not provided by company,NA
Dun & Bradstreet,http://www.dnb.com,1841,Short Hills,NJ,"1,001-5,000",Public,Business & Legal Services,"Subscriptions, Credit Risk and Business Insight, Lead generation to other businesses, Data analysis for clients, Database licensing",NA
Science Exchange,scienceexchange.com,2011,Palo Alto,CA,11-50,Private,Scientific Research,User fees for web or mobile access,"Business to Business, academia"
Harris Corporation,www.harris.com,1895,Melbourne,FL,"10,001+",Public,Environment & Weather,"Government & Defense, Data analysis for clients, Database licensing",NA
Weather Channel,http://www.weather.com/,1982,Atlanta,GA,"1,001-5,000",Public,NA,Not reported by company,NA
StreetEasy,http://streeteasy.com/,2005,NA,NY,11-50,Private,Housing/Real Estate,Not provided by company,Business to Consumer
Archimedes Inc.,http://archimedesmodel.com/,2006,San Francisco,CA,11-50,Private,Healthcare,Software licensing,"Business to Business, Business to Government, academia"
CliniCast,http://clinicast.net/,2011,Millbrae,CA,1-10,Private,Healthcare,"Data analysis for clients, Database licensing, Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
TagniFi,tagnifi.com,2012,Tampa,FL,1-10,Private,Finance & Investment,Database licensing,Business to Business
"Marinexplore, Inc.",www.marinexplore.com,2012,Sunnyvale,CA,1-10,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Software licensing",Business to Business
Kimono Labs,kimonolabs.com,2014,San Francisco,CA,1-10,Private,Data/Technology,"No revenue, investors",NA
Compendia Bioscience Life Technologies,http://www.lifetechnologies.com/us/en/home/life-science/cancer-research/cancer-genomics/compendia-bioscience-life-technologies.html,2006,Ann Arbor,MI,11-50,Public,Scientific Research,"Database licensing, Software licensing, Subscriptions","Business to Business, Business to Government, academia"
Politify,http://www.politify.us,2011,Berkeley,CA,1-10,Private,Governance,Not reported by company,Business to Consumer
Compared Care,comparedcare.com,2014,Baltimore,MD,1-10,Private,Healthcare,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
Plus-U,https://www.unigo.com/from-plusu.aspx,2008,New York,NY,11-50,NA,Education,Not reported by company,Business to Consumer
PeerJ,https://peerj.com,2012,Corte Madera,CA,1-10,Private,Scientific Research,Publication fees,academia
EarthObserver App,http://www.earth-observer.org/,2011,New York,NY,NA,NA,Geospatial/Mapping,Not reported by company,Business to Consumer
Xcential,xcential.com,2003,Encinitas,CA,1-10,Private,Governance,Other,Business to Government
Reed Elsevier,http://www.reedelsevier.com/Pages/Home.aspx,1880,New York,NY,"10,001+",Public,Business & Legal Services,Not reported by company,Business to Business
SmartAsset,smartasset.com,2010,New York City,NY,1-10,Private,Finance & Investment,"Advertising, Lead generation to other businesses, Subscriptions",Business to Consumer
Environmental Data Resources,http://www.edrnet.com,1990,Milford,CT,51-200,Private,Environment & Weather,Not reported by company,Business to Business
Suddath,http://www.suddath.com/,1919,Wayne,NJ,"1,001-5,000",Private,Transportation,Not reported by company,NA
ClearHealthCosts,clearhealthcosts.com,2011,New York City,NY,1-10,Public,Healthcare,"Advertising, Data analysis for clients, Database licensing, Philanthropic grants, Software licensing, User fees for web or mobile access",NA
FlightView,http://www.flightview.com/,1981,Newton,MA,11-50,Private,Transportation,Not reported by company,Business to Business
"FirstPoint, Inc.",https://www.firstpointresources.com/,1941,Greensboro,NC,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
Healthgrades,http://www.healthgrades.com/,1998,"Denver, CO",CO,"501-1,000",Private,Healthcare,Not reported by company,NA
Knowledge Agency,http://www.knowledgeagency.com/,1989,New York,NY,NA,NA,Research & Consulting,Not reported by company,NA
"Ontodia, Inc",ontodia.com,2011,New York,NY,1-10,Private,Data/Technology,"Software licensing, Subscriptions","Business to Business, Business to Consumer, Business to Government"
"Aunt Bertha, Inc.",auntbertha.com,2010,Austin,TX,11-50,Private,Governance,"Software licensing, Subscriptions",Business to Consumer
SmartProcure,http://smartprocure.us/,2011,Deerfield Beach,FL,11-50,Private,Governance,Subscriptions,Business to Business
PatientsLikeMe,http://www.patientslikeme.com,2004,Cambridge,MA,51-200,Private,Healthcare,"Data analysis for clients, Database licensing",Business to Consumer
ASC Partners,http://www.asc-partners.com,2010,Boston,MA,1-10,partnership,Business & Legal Services,Not reported by company,Business to Business
CB Insights,http://www.cbinsights.com/,2009,New York,NY,11-50,Private,Finance & Investment,"Lead generation to other businesses, Subscriptions, API",Business to Business
HERE,http://here.com,2012,Chicago,IL,"5,001-10,000",Private,Geospatial/Mapping,Not reported by company,NA
Stamen Design,http://stamen.com/,2001,San Francisco,CA,NA,Private,Geospatial/Mapping,Not reported by company,Business to Business
Consumer Reports,www.consumerreports.org,1936,Yonkers,NY,"501-1,000",Nonprofit,Lifestyle & Consumer,"Subscriptions, Philanthropic grants",NA
HealthMap,http://healthmap.org/,2006,Boston,MA,11-50,nonprofit + commercial spinoff,Healthcare,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Investormill,www.investormill.com,2012,New York,NY,1-10,Private,Finance & Investment,"Database licensing, Subscriptions",Business to Business
Lenddo,https://www.lenddo.com/pages/what_is_lenddo/office,2011,NA,NY,51-200,Private,Finance & Investment,Not reported by company,Business to Consumer
Munetrix,www.munetrix.com,2010,Auburn Hills,MI,1-10,Partnership,Governance,"Database licensing, Software licensing",Business to Consumer
PlanetEcosystems,http://planetecosystems.com,2009,San Francisco,CA,11-50,Private,Energy,Not reported by company,"Business to Business, Business to Government"
CARFAX,http://www.carfax.com,1984,Centreville,VA,"501-1,000",Private,Transportation,Not provided by company,Business to Consumer
Marlin Alter and Associates,http://www.marlinalter.com/,NA,NA,FL,NA,NA,Business & Legal Services,Not reported by company,NA
eInstitutional,einstitutional.com,2008,Ridgefield,CT,1-10,Private,Finance & Investment,"Data analysis for clients, Database licensing",Business to Business
Yelp,http://www.yelp.com/,2004,San Francisco,CA,"1,001-5,000",Public,Lifestyle & Consumer,Not reported by company,NA
Mango Transit,http://www.windowsphone.com/en-us/store/app/mango-transit/34083d75-dca6-4631-99be-4f9a3813dd73,2011,Redmond,WA,NA,Private,Geospatial/Mapping,Not reported by company,Business to Consumer
Certara,http://www.certara.com,2008,St Louis,MO,201-500,Private,Scientific Research,Not reported by company,"Business to Business, Business to Consumer"
WebMD,http://www.webmd.com/,1996,New York,NY,"1,001-5,000",Public,Healthcare,Not reported by company,NA
InCadence,http://incadence.com,2012,Manassas,VA,1-10,Private,Data/Technology,Not reported by company,"Business to Business, nonprofit"
Ez-XBRL,ez-xbrl.com,2009,Manassas,VA,51-200,Private,Finance & Investment,Software licensing,Business to Business
Personalis,http://www.personalis.com,2011,Menlo Park,CA,NA,Private,Scientific Research,Not reported by company,Business to Business
ZocDoc,http://www.zocdoc.com/,2007,New York,NY,"501-1,000",Private,Healthcare,Not reported by company,NA
Appallicious,appallicious.com,2010,San Francisco,CA,11-50,Private,Data/Technology,Software licensing,Business to Government
Retroficiency,http://www.retroficiency.com,2009,Boston,MA,11-50,Private,Energy,Not reported by company,Business to Business
AtSite,www.atsiteinc.com,1993,"Washington, D.C.",DC,51-200,Private,Research & Consulting,NA,Business to Business
Municode,http://www.municode.com,1951,Tallahassee,FL,51-200,Private,Business & Legal Services,Not reported by company,Business to Business
McKinsey,http://www.mckinsey.com,1926,New York,NY,"10,001+",Private,Research & Consulting,Not reported by company,"Business to Business, Business to Government"
Onvia,http://www.onvia.com,2000,Seattle,WA,51-200,Public,Governance,Subscriptions,Business to Business
Recargo,http://www.recargo.com,2010,Venice,CA,11-50,Private,Energy,Not reported by company,"Business to Business, Business to Consumer"
SpotHero.com,http://spothero.com/,2010,Chicago,IL,1-10,Private,Transportation,Not reported by company,Business to Consumer
Verdafero,www.verdafero.com,2009,San Francisco,CA,1-10,Private,Data/Technology,"Subscriptions, Data analysis for clients, Database licensing",NA
MetLife,https://www.metlife.com,1868,New York,NY,"10,001+",Public,Insurance,Not reported by company,"Business to Business, Business to Consumer"
Whitby Group,http://www.whitbygroup.com,2001,Ithaca,NY,11-50,Private,Research & Consulting,Design consulting,NA
GuideStar,http://www.guidestar.org,1994,Washington,DC,51-200,Nonprofit,Governance,"Data analysis for clients, Database licensing, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access",nonprofit
nGAP Incorporated,ngap.com,2008,Bonsall,CA,11-50,Private,Governance,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
PossibilityU,http://www.possibilityu.com/,2010,NA,ME,11-50,Private,Education,Not reported by company,Business to Consumer
SocialEffort Inc,http://socialeffort.co/,2013,NA,NY,1-10,Private,Lifestyle & Consumer,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Redfin,http://www.redfin.com,2004,Seattle,WA,201-500,Private,Housing/Real Estate,Brokerage Fees,Business to Consumer
Ranku,http://goranku.com,2013,New York,NY,1-10,sole proprietorship,Education,Not reported by company,Business to Consumer
"3 Round Stones, Inc.",http://3RoundStones.com,2010,Washington,DC,1-10,Private,Data/Technology,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
Merrill Lynch,http://www.ml.com/index.asp?id=7695_15125,1914,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,NA
Collective IP,www.collectiveip.com,2011,Denver,CO,1-10,Private,Data/Technology,Software licensing,Business to Business
Russell Investments,http://www.russell.com/indexes/,1936,Seattle,WA,"1,001-5,000",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
VitalChek,https://www.vitalchek.com/,1987,Brentwood,TN,51-200,Public,Governance,Not reported by company,Business to Consumer
"LOGIXDATA, LLC",www.logixdata.com,2009,Sacramento,CA,51-200,Private,Finance & Investment,Subscriptions,Business to Business
Revelstone,http://www.revelstonelabs.com,2010,Parsippany,NJ,11-50,Private,Governance,Software licensing,Business to Government
United Mayflower,http://www.unitedmayflower.com/,2006,St. Louis,MO,1-10,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Legal Science Partners,www.legalsciencepartners.net,2013,Narberth,PA,51-200,Private,Business & Legal Services,"Data analysis for clients, Database licensing, Software licensing","Business to Business, Business to Government"
Maponics,http://www.maponics.com/,2001,White River Junction,VT,11-50,Private,Geospatial/Mapping,Not reported by company,Business to Business
Arrive Labs,http://home.downloadarrive.com,2011,San Francisco,CA,1-10,Private,Transportation,Not reported by company,NA
CareSet Systems,www.careset.com,2013,Houston,TX,1-10,Private,Data/Technology,"Data analysis for clients, Software licensing, Subscriptions",Business to Business
Roadify Transit,www.roadify.com,2010,New York City,NY,1-10,Private,Transportation,"Lead generation to other businesses, Subscriptions",Business to Consumer
MicroBilt Corporation,http://www.microbilt.com/,1978,Kennesaw,GA,201-500,Private,Business & Legal Services,Not provided by company,Business to Business
Mapbox,mapbox.com,2011,Washington,DC,11-50,Private,Geospatial/Mapping,"Database licensing, Philanthropic grants, Software licensing, Subscriptions, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
WaterSmart Software,http://www.watersmartsoftware.com/,2009,San Francisco,CA,11-50,Private,Environment & Weather,"Data analysis for clients, Database licensing, Software licensing, Subscriptions",Business to Business
Ayasdi,http://www.ayasdi.com/,2008,Menlo Park,CA,51-200,Private,Data/Technology,Not reported by company,Business to Business
"LegiNation, Inc.",http://www.billtrack50.com/,2011,Denver,CO,1-10,Private,Governance,Subscriptions,Business to Consumer
USAA Group,https://www.usaa.com,1922,San Antonio,TX,"10,001+",Private,Finance & Investment,not reported by company,NA
PowerAdvocate,http://www.poweradvocate.com/index.html,2000,Boston,MA,51-200,Private,Energy,Not reported by company,Business to Business
Adaptive,http://www.adaptive.com,2001,Irvine,CA,11-50,Private,Business & Legal Services,Not reported by company,Business to Business
Webitects,webitects.com,1998,Chicago,IL,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing, Web Design, Development","Business to Government, academia + nonprofit"
"OpportunitySpace, Inc.",opportunityspace.org,2013,Boston,MA,1-10,Private,Housing/Real Estate,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
Apextech LLC,apextechllc.com,2003,Arlington,VA,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing",Business to Government
"Calcbench, Inc.",calcbench.com,2012,New York,NY,1-10,Private,Finance & Investment,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer,"
5PSolutions,www.5psolutions.com,2007,Fairfax,VA,1-10,Private,Data/Technology,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
Liquid Robotics,http://liquidr.com,2007,Sunnyvale,CA,51-200,Private,Geospatial/Mapping,Not reported by company,Business to Business
(Leg)Cyte,http://www.legcyte.com,2006,Washington,DC,NA,Public,Governance,Software licensing,NA
Capital Cube,http://www.capitalcube.com,2010,Williamsville,NY,11-50,partnership,Finance & Investment,Not reported by company,Business to Consumer
Telenav,http://www.telenav.com/,1999,Sunnyvale,CA,"501-1,000",Public,Geospatial/Mapping,Not reported by company,NA
Cappex,www.cappex.com,2006,Chicago,IL,51-200,Private,Education,not reported by company,Business to Consumer
Berkshire Hathaway,http://www.berkshirehathaway.com,1998,Omaha,NE,"5,001-10,000",Public,Finance & Investment,Not reported by company,NA
GreatSchools,greatschools.org,1998,San Francisco,CA,51-200,Nonprofit,Education,"Advertising, Philanthropic grants",Business to Consumer
karmadata,www.karmadata.com,2011,Hingham,MA,1-10,Private,Healthcare,Subscriptions,"Business to Business, Business to Consumer"
gRadiant Research LLC,gradiant-research.com,2008,Concord,MA,51-200,Private,Research & Consulting,IP licensing,NA
Factual,http://www.factual.com,2007,Los Angeles,CA,51-200,Private,Data/Technology,"Advertising, Data analysis for clients, Database licensing, Subscriptions",Business to Business
Chemical Abstracts Service,https://www.cas.org,1907,Columbus,OH,"1,001-5,000",Nonprofit,Scientific Research,Not reported by company,Nonprofit
Civic Impulse LLC,https://www.govtrack.us/civicimpulse,2009,Washington,DC,1-10,Private,Governance,Advertising,"Business to Consumer, Business to Government"
Morgan Stanley,http://www.morganstanley.com,1935,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Genability,http://genability.com,2010,San Francisco,CA,1-10,Private,Energy,"Data analysis for clients, Database licensing",Business to Business
Navico,www.navico.com,2005,Nashua,NH,"1,001-5,000",Private,Geospatial/Mapping,Sale of hydrographic cartography,NA
Vital Axiom | Niinja,niinja.co,2012,Chicago,IL,1-10,Private,Data/Technology,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Government"
Symcat,http://www.symcat.com/,2011,Baltimore,MD,1-10,Private,Healthcare,Philanthropic grants,Business to Consumer
Intelius,http://corp.intelius.com/,2003,Bellevue,WA,51-200,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
IPHIX,iphix.net,2004,Falls Church,VA,1-10,Private,Data/Technology,"Software licensing, Consulting Services","Business to Business, Business to Government"
Zoner,www.Zonerapp.com,2011,New York,NY,1-10,Private,Housing/Real Estate,Subscriptions,"Business to Business, Business to Consumer, nonprofit"
T. Rowe Price,http://www.troweprice.com,1937,Baltimore,MD,NA,Public,Finance & Investment,Not reported by company,NA
Forrester Research,http://www.forrester.com,1983,Cambridge,MA,"1,001-5,000",Public,Research & Consulting,Not reported by company,Business to Business
CostQuest,http://www.costquest.com,1990,Cincinnati,OH,11-50,partnership,Business & Legal Services,Not reported by company,Business to Business
Mercaris,http://www.mercaris.com/,2012,Silver Spring,MD,1-10,Private,Food & Agriculture,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
Gallup,http://www.gallup.com,1969,Washington,DC,"1,001-5,000",Private,Research & Consulting,Not reported by company,Business to Business
Stormpulse,http://stormpulse.com/,2004,Austin,TX,1-10,Private,Environment & Weather,Not reported by company,Business to Business
NA,http://outline.com,2012,Somerset,NJ,201-500,Private,Governance,Not reported by company,"Business to Business, Business to Consumer"
Innography,http://www.innography.com,2007,Austin,TX,51-200,Private,Business & Legal Services,Subscriptions,Business to Business
Construction Monitor LLC,www.constructionmonitor.com,1989,Cedar City,UT,11-50,Private,Housing/Real Estate,"Database licensing, Subscriptions",Business to Business
NerdWallet,http://www.nerdwallet.com,2009,San Francisco,CA,11-50,Private,Finance & Investment,Lead generation to other businesses,Business to Consumer
Analytica,http://www.analytica.net/,2007,Washington DC,DC,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing, Software licensing, Information Brokering","Business to Business, Business to Government"
Experian,http://www.experian.com,1980,Costa Mesa,CA,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Bridgewater,http://www.bwater.com,1975,Westport,CT,"1,001-5,000",Private,Finance & Investment,Not reported by company,"Business to Business, Business to Government"
Thinknum,http://www.thinknum.com/,2013,New York,NY,1-10,Private,Finance & Investment,"Software licensing, Subscriptions",Business to Consumer
Trintech,http://www.trintech.com/,2000,Addison,TX,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Practice Fusion,http://www.practicefusion.com,2005,San Francisco,CA,201-500,Private,Healthcare,Not reported by company,Business to Business
Vitals,http://www.vitals.com/,2007,Lyndhurst,NJ,51-200,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Stevens Worldwide Van Lines,http://www.stevensworldwide.com/,1905,Wyckoff,NJ,201-500,Private,Transportation,Not reported by company,Business to Business
realtor.com,http://www.realtor.com/,1996,San Jose,CA,"1,001-5,000",Public,Housing/Real Estate,Not reported by company,Business to Consumer
IFI CLAIMS Patent Services,www.ificlaims.com,1955,Madison,CT,11-50,Private,Data/Technology,"Database licensing, Subscriptions",Business to Business
SolarList,solarlist.com,2013,Brooklyn,NY,1-10,Private,Energy,Lead generation to other businesses,NA
Sage Bionetworks,http://sagebase.org,2009,Seattle,WA,11-50,Nonprofit,Scientific Research,"Storage, provenance, version control, and collaboration on open biological data.","Business to Business, academia"
"Loqate, Inc.",www.loqate.com,2009,San Mateo,CA,11-50,Private,Geospatial/Mapping,"Software licensing, Subscriptions, User fees for web or mobile access",Business to Business
SAS,http://www.sas.com/,1976,Cary,NC,"10,001+",Private,Data/Technology,Not reported by company,Business to Business
Scale Unlimited,http://www.scaleunlimited.com/,2006,NA,CA,1-10,Private,Data/Technology,Not reported by company,Business to Business
Epsilon,http://www.epsilon.com,1969,Plano,TX,"5,001-10,000",Public,Data/Technology,Not reported by company,Business to Business
BuildFax,http://www.buildfax.com/,2008,NA,NC,11-50,Private,Business & Legal Services,Not reported by company,"Business to Business, Business to Consumer"
Citigroup,http://www.citigroup.com/citi/,1812,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
Ernst & Young LLP,http://www.ey.com,1998,New York,NY,"10,001+",Private,Finance & Investment,Not reported by company,Business to Business
Funding Circle,https://www.fundingcircle.com,2010,San Francisco,CA,51-200,Private,Finance & Investment,Not reported by company,Business to Business
Child Care Desk,http://childcaredesk.com,2013,New York,NY,NA,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
H3 Biomedicine,http://www.h3biomedicine.com,2010,Cambridge,MA,51-200,Private,Scientific Research,Lead generation to other businesses,Business to Business
Weather Underground,http://www.wunderground.com/,1995,San Francisco,CA,51-200,Private,Environment & Weather,Not provided by company,"Business to Business, Business to Consumer"
SigFig,https://www.sigfig.com/,2008,San Francisco,CA,11-50,Private,Finance & Investment,Not reported by company,Business to Business
Cambridge Information Group,http://www.cig.com,1971,New York,NY,11-50,Private,Finance & Investment,Not reported by company,"Business to Business, Business to Consumer"
Graebel Van Lines,http://www.graebelmoving.com,1950,Aurora,CO,"1,001-5,000",Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Socrata,www.socrata.com,2007,Seattle,WA,51-200,Private,Data/Technology,"Data analysis for clients, Database licensing, Subscriptions",Business to Consumer
"Urban Mapping, Inc",http://www.urbanmapping.com/,2006,San Francisco,CA,1-10,Private,Geospatial/Mapping,"Data analysis for clients, Database licensing, Subscriptions",Business to Business
Fastcase,fastcase.com,1999,Washington,DC,51-200,Private,Business & Legal Services,Subscriptions,Business to Business
College Board,http://www.collegeboard.org,1900,New York,NY,"1,001-5,000",Nonprofit,Education,"educational assessment, Data analysis for clients, Database licensing",NA
McGraw Hill Financial,http://www.mhfi.com,1919,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,Business to Business
PlaceILive.com,www.placeilive.com,2012,Vilnius,AL,1-10,Private,Housing/Real Estate,Venture Capital,"Business to Business, Business to Consumer"
indoo.rs,http://indoo.rs/,2010,Palo Alto,CA,11-50,Private,Geospatial/Mapping,Not provided by company,Business to Consumer
Spikes Cavell Analytic Inc,http://www.spikescavell.com/,2003,Herndon,VA,11-50,Private,Data/Technology,"Data analysis for clients, Database licensing",Business to Government
Evidera,http://www.evidera.com,2013,Bethesda,MD,201-500,Private,Healthcare,Not reported by company,Business to Business
